"","incidenceRate","medIncome","popEst2015","povertyPercent","studyPerCap","binnedInc","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PercentMarried","PctMarriedHouseholds","BirthRate","deathRate","modeEdu18_24","PctNoHS18_24","PctBachDeg25_Over","modeHI","IDW"
"11",413.3,54721,16252,12.7,0,"(54545.6, 61494.5]",54.4,54,54.6,2.04,56.8,50.0389206,4.586129754,121.4,"HS18_24",17.7,26.2,"PrivateCoverage","90to95"
"12",499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41,40,42.2,2.56,53.6,52.93732685,5.818153266,172.7,"SomeCol18_24",25.5,15.9,"PrivateCoverage","77to90"
"13",398.9,52673,11339,12.6,0,"(51046.4, 54545.6]",45.2,44.9,45.5,2.49,54.4,52.94771969,4.805591962,188.3,"HS18_24",20,14.2,"PrivateCoverage","90to95"
"14",493.4,71890,772501,9.9,138.5111476,"(61494.5, 125635]",37.6,36.6,38.7,2.68,52.1,52.72049671,4.729251068,165.3,"HS18_24",15.4,20.9,"PrivateCoverage","77to90"
"15",440.7,50083,490945,16.3,462.3735856,"(48021.6, 51046.4]",37.2,35.7,38.7,2.45,49.4,48.18837711,5.355835918,171,"SomeCol18_24",10.9,18.1,"PrivateCoverage","77to90"
"16",423.8,43823,43791,19.3,0,"(42724.4, 45201]",46.2,45.6,46.8,2.44,57.2,55.21239889,3.631082062,174.2,"HS18_24",25.1,10.7,"PrivateCoverage","77to90"
"17",495.9,61653,269536,11.9,207.7644545,"(61494.5, 125635]",38.5,37.1,39.9,2.52,52.4,50.87449211,5.180155167,169.9,"SomeCol18_24",14.8,20.3,"PrivateCoverage","77to90"
"18",463.2,51022,4042,13.9,0,"(48021.6, 51046.4]",52.1,51.5,53.1,2.31,53.5,53.37995338,0.535475234,153.8,"SomeCol18_24",37.2,10.1,"PrivateCoverage","90to95"
"19",442.5,49819,60338,15.7,464.0525042,"(48021.6, 51046.4]",36.9,35.5,39.1,2.5,46.5,49.3270649,4.138710893,162.8,"HS18_24",13.7,16.4,"PrivateCoverage","77to90"
"20",490.9,53733,212284,15.7,249.6655424,"(51046.4, 54545.6]",36.5,35.6,37.5,2.53,47.5,48.06875024,4.4729858,163.3,"HS18_24",9.4,21.3,"PrivateCoverage","77to90"
"21",390.5,41837,48177,28.4,0,"(40362.7, 42724.4]",24.2,24.4,23.9,2.31,36.1,40.55405483,3.304159034,140.8,"HS18_24",1.2,25.7,"PrivateCoverage","77to90"
"22",411,44342,248830,20.5,301.4106016,"(42724.4, 45201]",32.5,31.6,33.6,3.05,48.6,50.66898414,6.560611666,169.4,"HS18_24",28.7,9.8,"PrivateCoverage","77to90"
"23",445.2,35615,16704,21.5,0,"(34218.1, 37413.8]",41.5,40.9,42.1,2.68,52,55.28885946,2.292860865,189.7,"SomeCol18_24",9.8,7.9,"PrivateCoverage","95to100"
"24",463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38,38.6,0.0263,51.8,51.52350516,4.872468117,206.1,"HS18_24",17,12.7,"PrivateCoverage","77to90"
"25",501.8,37625,23372,22.1,0,"(37413.8, 40362.7]",41.9,41.2,43.2,2.5,55.2,53.06378967,4.220287661,236.7,"HS18_24",21.3,5.4,"PrivateCoverage","95to100"
"26",396.6,33817,14415,22.2,0,"[22640, 34218.1]",44.5,43.7,45.3,2.51,52.4,53.27269485,5.469020422,196.3,"HS18_24",32.6,8.5,"PrivateCoverage","95to100"
"27",481.6,43572,23350,15.1,0,"(42724.4, 45201]",45.9,44.1,48,2.26,50.3,47.58723829,4.970530452,186.2,"HS18_24",11.1,11,"PrivateCoverage","95to100"
"28",483.4,34887,96844,21.9,330.4283177,"(34218.1, 37413.8]",38.5,36.9,39.9,2.32,43,40.76501639,4.521925134,194,"HS18_24",9.7,14.8,"PrivateCoverage","90to95"
"29",459.9,32162,7470,21.8,0,"[22640, 34218.1]",47,47.6,46.5,2.44,55.7,53.33333333,4.780114723,226.5,"HS18_24",11.6,7.6,"PrivateCoverage","95to100"
"30",591,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,2.62,55.8,58.09248555,8.753056235,212.9,"HS18_24",19.5,5.8,"PublicCoverage","95to100"
"31",234,41838,8176,17.4,0,"(40362.7, 42724.4]",43.7,41.8,45.5,2.85,45.8,53.92670157,6.016466118,185.6,"HS18_24",26.2,8.8,"PrivateCoverage","95to100"
"32",457,36739,44997,21.4,0,"(34218.1, 37413.8]",43.2,42,45.1,2.47,50.9,49.88397759,6.526136485,217,"HS18_24",17.3,8.4,"PrivateCoverage","90to95"
"33",463.1,32705,8518,28.9,0,"[22640, 34218.1]",38.4,37.4,41.2,2.4,43.2,52.58746356,2.328431373,209.9,"HS18_24",7.8,9.8,"PrivateCoverage","77to90"
"34",356.3,41039,11766,17,0,"(40362.7, 42724.4]",45.6,45.5,45.7,0.028,50.5,55.4011976,3.528435035,128,"HS18_24",16.3,7,"PrivateCoverage","95to100"
"35",494.9,36996,35516,21.1,0,"(34218.1, 37413.8]",45.3,44.6,46.7,2.28,52.2,47.48027903,4.354354354,195.1,"HS18_24",22.4,11.2,"PrivateCoverage","90to95"
"36",475.1,35980,23353,21.2,0,"(34218.1, 37413.8]",44.6,44,45.1,2.25,38.7,33.68648224,2.28320067,212.1,"HS18_24",21.5,6.9,"PrivateCoverage","95to100"
"37",495,48178,29815,12.9,0,"(48021.6, 51046.4]",45.6,44.1,47.9,2.32,51.8,48.44113541,5.693029274,184.1,"HS18_24",20,12.6,"PrivateCoverage","95to100"
"38",374.9,41010,13852,15.3,0,"(40362.7, 42724.4]",44.5,44.2,45,2.69,50.1,51.41582622,2.955003358,153,"HS18_24",24.9,9.3,"PrivateCoverage","90to95"
"39",506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42,40.5,43.5,2.48,52.4,49.69820377,5.060383303,206.7,"HS18_24",17.7,13.5,"PrivateCoverage","95to100"
"40",475.8,41121,29237,16.7,0,"(40362.7, 42724.4]",42.6,41.2,44.1,2.62,54.5,55.45062062,4.735242361,194.2,"HS18_24",13.7,11.7,"PrivateCoverage","95to100"
"41",423.7,66950,56482,10.2,0,"(61494.5, 125635]",39.7,39.9,39.3,2.65,53.3,54.09965078,4.995519713,178.2,"SomeCol18_24",14.1,18.2,"PrivateCoverage","77to90"
"42",508.7,43936,188332,16.8,191.1517958,"(42724.4, 45201]",42.8,40.9,44.3,2.28,47.9,43.74346505,4.091266719,205.4,"HS18_24",20.4,14.7,"PrivateCoverage","77to90"
"43",553,40568,16448,20,0,"(40362.7, 42724.4]",43.3,42.2,44.7,2.48,50.6,49.87741342,4.374100719,218.4,"HS18_24",15.6,9.3,"PrivateCoverage","95to100"
"44",513.2,34295,21415,24.4,46.69624095,"(34218.1, 37413.8]",41.9,41.4,42.8,2.69,50.6,52.9271954,2.635983264,226.9,"HS18_24",16.9,5.7,"PublicCoverage","95to100"
"45",523.9,36437,34707,20.2,28.81263146,"(34218.1, 37413.8]",42.6,41.5,44.1,2.5,53.1,52.33924375,4.195713917,240.1,"HS18_24",15,5.5,"PrivateCoverage","95to100"
"46",457.1,24707,19835,34.9,0,"[22640, 34218.1]",44.1,41.5,46.5,2.39,46,44.26650367,3.860072376,234.8,"HS18_24",32.3,3.2,"PublicCoverage","77to90"
"47",510.9,43729,56925,17.9,0,"(42724.4, 45201]",41.1,39.7,42.7,2.47,51,49.46399182,5.113459745,188.8,"HS18_24",11.2,14.5,"PrivateCoverage","90to95"
"48",456.3,43356,31978,15.2,0,"(42724.4, 45201]",44.3,42.9,46.5,2.36,57.7,55.3172673,3.174132305,184.6,"HS18_24",8.5,11.4,"PrivateCoverage","95to100"
"49",463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43,42.3,44.1,2.44,51.6,50.71046319,3.66910141,209.5,"HS18_24",23.1,7.8,"PrivateCoverage","95to100"
"50",493.8,35046,61164,20.5,81.74743313,"(34218.1, 37413.8]",42.3,40.6,43.7,2.39,50.6,48.3713803,4.807972069,210,"HS18_24",14,12.5,"PrivateCoverage","90to95"
"51",456.6,40012,27451,16.1,0,"(37413.8, 40362.7]",43.2,42.1,44.4,2.4,44.2,42.97381269,7.391231312,198.4,"HS18_24",9.5,8.5,"PrivateCoverage","90to95"
"52",507,29839,25292,28.1,0,"[22640, 34218.1]",41.7,40.4,42.7,2.38,55.6,52.14865363,2.796024928,240.8,"HS18_24",17.2,5.4,"PrivateCoverage","95to100"
"53",444.5,43835,104236,22.5,95.9361449,"(42724.4, 45201]",30,28.5,31.3,2.56,37.2,40.42122317,4.001671717,155.9,"SomeCol18_24",3.5,20.6,"PrivateCoverage","90to95"
"54",434.6,36351,13506,19.3,0,"(34218.1, 37413.8]",46.6,45.4,48.3,2.3,56.8,53.16042597,6.07651913,190.7,"SomeCol18_24",10.6,8.7,"PrivateCoverage","95to100"
"55",425.4,44446,17524,13,0,"(42724.4, 45201]",46.1,45.8,46.6,2.36,47.7,45.14153511,4.090035685,209.7,"HS18_24",13.3,11.1,"PrivateCoverage","95to100"
"56",455.5,36375,25594,19.6,0,"(34218.1, 37413.8]",43.4,42.3,44.7,2.39,57.9,55.74302401,3.346456693,199.8,"HS18_24",14.7,8.2,"PrivateCoverage","95to100"
"57",500.9,40195,43066,18.4,301.8622579,"(37413.8, 40362.7]",43.3,41.3,45.1,2.24,45.2,42.92698827,3.257226644,184.4,"HS18_24",8.9,18.7,"PrivateCoverage","90to95"
"58",381.8,38204,7229,16.7,0,"(37413.8, 40362.7]",49.1,47.4,50.3,2.35,55.3,54.86268174,7.611940299,139.8,"HS18_24",25.9,7.3,"PrivateCoverage","95to100"
"59",458.9,44801,7674,16.5,0,"(42724.4, 45201]",43.6,42,45.6,2.43,55,56.79225717,2.966381015,213.3,"HS18_24",9,7.3,"PrivateCoverage","95to100"
"60",384.8,34341,8607,17.6,0,"(34218.1, 37413.8]",48.4,47.9,49,2.24,56.4,53.27803051,4.256631709,176.8,"HS18_24",10,10,"PrivateCoverage","95to100"
"61",435.3,41420,33940,17.6,0,"(40362.7, 42724.4]",42.3,40.4,43.5,2.52,53.3,56.80724824,4.038301415,169.8,"HS18_24",18,9,"PrivateCoverage","90to95"
"62",497.2,59472,56848,10,211.0892204,"(54545.6, 61494.5]",41,40.4,41.6,2.6,57.4,58.72299258,6.034482759,171.5,"HS18_24",7.7,14.8,"PrivateCoverage","95to100"
"63",469.6,40270,77510,17.7,12.90156109,"(37413.8, 40362.7]",41.6,40,43.4,2.4,51.3,49.67065294,3.77850558,198.2,"HS18_24",11.9,12,"PrivateCoverage","77to90"
"64",405.2,37468,29126,20.8,0,"(37413.8, 40362.7]",43.2,41.7,45.1,2.35,52.2,51.97613076,4.231027535,168.6,"HS18_24",24.3,10.6,"PrivateCoverage","95to100"
"65",502,46383,9982,17.7,0,"(45201, 48021.6]",45.2,45.1,45.3,2.56,49.5,49.74632166,6.267539757,214.7,"HS18_24",23.1,6.3,"PrivateCoverage","95to100"
"66",449.2,33041,14435,23.1,0,"[22640, 34218.1]",44.2,43.2,45,2.48,53.9,52.19686649,2.353331124,204,"HS18_24",26,8.2,"PublicCoverage","95to100"
"67",377.1,32456,13239,25.8,0,"[22640, 34218.1]",46.3,46.9,46,2.22,53.5,50.44770774,3.812668868,170.4,"HS18_24",20,7.6,"PrivateCoverage","90to95"
"68",400.9,40305,16912,16.8,0,"(37413.8, 40362.7]",43,41.6,44.5,2.45,52.3,52.0647653,6.801152738,172.2,"HS18_24",9.2,11.7,"PrivateCoverage","95to100"
"69",528.4,36466,6966,17.1,0,"(34218.1, 37413.8]",47.7,47,48.4,2.26,60.5,56.87707641,3.868613139,168.1,"HS18_24",7,7.1,"PrivateCoverage","95to100"
"70",468.3,41019,8975,15.8,0,"(40362.7, 42724.4]",46.2,45.6,46.9,2.48,53.5,52.40597345,1.988950276,199.1,"HS18_24",19,7.2,"PrivateCoverage","95to100"
"71",453.7,38387,24758,19.7,0,"(37413.8, 40362.7]",41.8,41.2,42.5,2.57,51.5,53.55768173,5.300938708,189.5,"HS18_24",9.1,9.3,"PrivateCoverage","95to100"
"72",433.2,37242,40971,20,24.40750775,"(34218.1, 37413.8]",42.5,41.3,43.5,2.47,48.9,47.52860823,4.112005292,183.8,"HS18_24",13.4,7.5,"PrivateCoverage","95to100"
"73",511.9,29331,8755,26.1,114.2204455,"[22640, 34218.1]",46.3,45.5,46.6,2.28,54.1,48.72652431,4.203539823,259.5,"HS18_24",10.4,5.3,"PublicCoverage","95to100"
"74",514.6,40013,15816,18.5,0,"(37413.8, 40362.7]",46,44.6,47.2,2.46,51.4,51.70881226,6.161137441,202.6,"HS18_24",19.8,6,"PrivateCoverage","95to100"
"75",455.3,38600,5880,20.3,0,"(37413.8, 40362.7]",45,45.4,44,2.4,52.2,51.76954733,5.968928863,185.8,"HS18_24",21.1,7.8,"PrivateCoverage","95to100"
"76",488.8,41932,86452,17.2,173.5066858,"(40362.7, 42724.4]",42.5,41.1,44,2.37,51.1,47.88351017,6.23870268,185.5,"HS18_24",15.8,12.2,"PrivateCoverage","95to100"
"77",447.8,34419,22151,22.8,0,"(34218.1, 37413.8]",42.8,41.5,44.2,2.48,55.7,54.03848244,6.018614271,235.4,"HS18_24",23.3,4.5,"PrivateCoverage","95to100"
"78",467.9,42063,20148,17.8,0,"(40362.7, 42724.4]",51.4,49.7,53.3,2.47,50.9,54.12278449,3.861129137,206,"HS18_24",21.5,8.5,"PrivateCoverage","90to95"
"79",451.5,41294,15843,14.9,0,"(40362.7, 42724.4]",42.2,40.8,42.8,2.29,45.9,42.79547484,6.460336538,217.5,"HS18_24",8.9,14.6,"PrivateCoverage","77to90"
"80",412.1,46375,45563,13.7,1097.381647,"(45201, 48021.6]",43.9,42,45.6,2.35,55.8,52.64644351,5.884312202,168.4,"HS18_24",15.6,10.6,"PrivateCoverage","95to100"
"81",369.9,44395,14977,13.6,0,"(42724.4, 45201]",50.8,50.5,51.1,2.16,58.5,52.79664691,5.547054323,171.7,"HS18_24",14.2,18.9,"PrivateCoverage","77to90"
"82",479.1,54141,258718,12,1213.676667,"(51046.4, 54545.6]",36.8,35.7,37.9,2.46,51.4,49.80425278,5.921762149,158.6,"HS18_24",16.8,20,"PrivateCoverage","77to90"
"83",385.7,50998,13192,10.5,151.6070346,"(48021.6, 51046.4]",45,45.1,44.9,2.29,59,54.08074857,7.17472119,166.4,"HS18_24",14.5,12.4,"PrivateCoverage","95to100"
"84",399.2,41810,15159,16.5,0,"(40362.7, 42724.4]",50.9,50.6,51.4,2.08,59,51.08041575,4.96054115,190.1,"HS18_24",14.7,11.9,"PrivateCoverage","90to95"
"85",474.1,68430,49762,5.9,0,"(61494.5, 125635]",39,38.4,39.8,2.66,62,62.98229565,4.330985915,157.9,"HS18_24",14.6,20.6,"PrivateCoverage","90to95"
"86",482.4,52485,63531,10.7,487.9507642,"(51046.4, 54545.6]",40.6,39.1,42,2.44,55.6,55.24062236,5.497771174,160.1,"SomeCol18_24",14.2,13.5,"PrivateCoverage","95to100"
"87",455.2,45316,34445,16,0,"(45201, 48021.6]",37.1,36.4,38.4,2.65,58.2,57.41970774,9.86429301,157.6,"NoHS18_24",37.3,8.4,"PrivateCoverage","95to100"
"88",476.1,59020,56743,8.8,0,"(54545.6, 61494.5]",42,41.3,42.7,2.44,54.9,54.30466505,4.654466449,176.6,"HS18_24",18.5,15.8,"PrivateCoverage","95to100"
"89",466.4,43562,16391,14.7,122.0181807,"(42724.4, 45201]",45.9,44.2,47.1,2.38,52.3,51.27585686,5.300353357,176.4,"HS18_24",8.9,10.1,"PrivateCoverage","95to100"
"90",430.7,61937,523643,13.4,129.8594653,"(61494.5, 125635]",34.6,33.7,35.6,2.35,47.5,45.26843317,4.458527742,153.8,"HS18_24",6.3,28.3,"PrivateCoverage","77to90"
"91",437.3,54359,88502,9.9,0,"(51046.4, 54545.6]",42,40.4,43.7,2.51,51.1,53.53820299,4.49736915,178.9,"HS18_24",15,11.5,"PrivateCoverage","90to95"
"92",449.3,49717,27554,11,1778.326196,"(48021.6, 51046.4]",51.7,50.2,53.2,2.11,62.6,56.50832819,4.481380181,158.7,"HS18_24",20.8,19.7,"PrivateCoverage","95to100"
"93",354.7,46475,43601,13.9,0,"(45201, 48021.6]",40.6,39.8,41.3,2.28,47.6,44.24412034,6.150455775,192.8,"SomeCol18_24",10.9,15.4,"PrivateCoverage","90to95"
"94",396.1,52224,44497,13.9,0,"(51046.4, 54545.6]",34.1,33.4,35,2.48,47.6,51.38981814,5.116736739,155.6,"HS18_24",4.5,16.2,"PrivateCoverage","90to95"
"95",440.9,48102,102105,14.4,675.7749376,"(48021.6, 51046.4]",33.8,33,34.7,2.43,46.4,46.89544532,4.346348463,163.4,"HS18_24",6.9,19.9,"PrivateCoverage","90to95"
"96",308.2,44562,4464,12.8,0,"(42724.4, 45201]",51.1,50.8,51.3,2.32,59.9,57.93067227,3.462050599,171.9,"NoHS18_24",23.9,12,"PrivateCoverage","95to100"
"97",477,52149,101973,9.9,235.3564179,"(51046.4, 54545.6]",41,40.1,41.8,2.4,54.8,53.51968638,4.541733098,159.4,"HS18_24",10.6,14.8,"PrivateCoverage","90to95"
"98",490.6,41418,9057,17,4306.06161,"(40362.7, 42724.4]",45.3,44.4,46.4,2.33,52.8,51.39107612,7.250418293,166.4,"HS18_24",18.9,8.8,"PrivateCoverage","77to90"
"99",428.2,46972,52250,15,0,"(45201, 48021.6]",36.1,33.2,39.7,2.44,48.6,51.66349565,5.174434328,166.9,"SomeCol18_24",8.4,13.1,"PrivateCoverage","95to100"
"100",420,53328,37186,8.7,0,"(51046.4, 54545.6]",42.2,41.3,43.2,2.47,56.7,55.2736352,5.46031746,158.4,"HS18_24",10.5,14.8,"PrivateCoverage","95to100"
"101",447.2,61802,17110,8.2,0,"(61494.5, 125635]",458.4,36.3,40.7,2.46,58.1,60.49149338,9.675645959,152.3,"HS18_24",4.3,18,"PrivateCoverage","95to100"
"102",356.1,40351,5220,16,191.5708812,"(37413.8, 40362.7]",46.1,45.2,47.8,2.29,56.5,52.45683931,5.360824742,169.9,"NoHS18_24",30.1,17.2,"PrivateCoverage","77to90"
"103",400.6,43883,3091,12.1,0,"(42724.4, 45201]",49.5,47.7,50.5,2.21,61,53.95787945,7.992565056,187.4,"SomeCol18_24",11.9,10,"PrivateCoverage","95to100"
"104",221.5,55955,5937,9.2,0,"(54545.6, 61494.5]",38.8,36.8,41.4,2.61,62.7,61.73052088,5.678233438,138.2,"HS18_24",12.4,14.2,"PrivateCoverage","95to100"
"105",432.5,49517,5163,10.7,0,"(48021.6, 51046.4]",48.9,47.6,50.9,2.15,67,59.54720205,6.35451505,120.2,"HS18_24",21.5,14.8,"PrivateCoverage","95to100"
"106",453.6,41344,7064,34,0,"(40362.7, 42724.4]",28.6,27.5,30.3,3.3,40.9,41.69865643,8.467741935,215,"HS18_24",30.2,9.2,"PrivateCoverage","Lt77"
"107",350.1,44726,4154,12.3,0,"(42724.4, 45201]",46,44.2,46.6,2.21,64.2,56.87928308,5.01285347,156.3,"HS18_24",17.2,14.5,"PrivateCoverage","95to100"
"108",431.4,69191,20248,7.4,0,"(61494.5, 125635]",41.2,40.1,42.4,2.48,63.5,62.95743092,5.725611099,159.2,"HS18_24",13,22.6,"PrivateCoverage","95to100"
"109",392,53290,9367,13.6,0,"(51046.4, 54545.6]",30.1,27.2,32.2,2.33,53.9,58.74285714,5.981533521,142.1,"HS18_24",3.6,25.8,"PrivateCoverage","95to100"
"110",495.5,40979,3625,12.7,0,"(40362.7, 42724.4]",47.5,45.5,49,2.31,57.2,54.25257732,3.524229075,162.7,"HS18_24",28,12.9,"PrivateCoverage","95to100"
"111",389.2,51335,13806,10.6,0,"(51046.4, 54545.6]",41.3,38.2,43.6,2.31,56.5,55.1213419,6.993486459,164.7,"SomeCol18_24",13.6,19,"PrivateCoverage","95to100"
"112",453.5494221,46840,24200,13.2,0,"(45201, 48021.6]",38.9,37.1,40.8,2.51,51.6,49.69920844,7.724034496,211,"HS18_24",19.8,10.9,"PrivateCoverage","77to90"
"113",453.5494221,51241,2114801,15.6,405.2390745,"(51046.4, 54545.6]",36.4,35.9,37,2.78,44.6,43.81306543,5.125073246,167.7,"HS18_24",20.2,15.1,"PrivateCoverage","Lt77"
"114",453.5494221,60322,47710,10.3,0,"(54545.6, 61494.5]",49.4,48.7,50,2.37,58.9,56.13529501,5.193753615,145.2,"HS18_24",17.3,16.4,"PrivateCoverage","77to90"
"115",453.5494221,72648,51935,10.8,0,"(61494.5, 125635]",33.5,32.9,34.1,2.87,56.6,57.82097649,6.700733537,143.2,"SomeCol18_24",19,12.3,"PrivateCoverage","77to90"
"116",453.5494221,47180,829,14,0,"(45201, 48021.6]",46.5,43,47.5,2.35,44.3,40.57971014,4.326923077,262.1,"HS18_24",1.2,12.6,"PrivateCoverage","77to90"
"117",453.5494221,70535,2016,9.8,0,"(61494.5, 125635]",43.9,44.9,42.6,2.17,64.7,56.06258149,2.412868633,178.7,"NoHS18_24",48.1,14.2,"PrivateCoverage","95to100"
"118",453.5494221,67423,17019,10.7,0,"(61494.5, 125635]",35.3,34.9,35.4,2.74,51.6,51.35794438,5.517423442,191.5,"HS18_24",31.9,8.8,"PrivateCoverage","77to90"
"119",453.5494221,74347,5903,11,0,"(61494.5, 125635]",37.2,36.4,37.6,2.79,54.3,56.90633869,11.63179916,123.8,"HS18_24",24.3,4.7,"PrivateCoverage","77to90"
"120",453.5494221,45629,5036,15.1,0,"(45201, 48021.6]",37.4,37.3,38.1,2.55,56.8,59.21402018,4.519774011,127.4,"HS18_24",30.1,15.9,"PrivateCoverage","90to95"
"121",453.5494221,48576,52585,13.7,0,"(48021.6, 51046.4]",43.2,43.1,43.4,2.63,51.1,51.96681008,4.62962963,195.7,"HS18_24",30.2,11.1,"PrivateCoverage","77to90"
"122",453.5494221,40714,4478,19,0,"(40362.7, 42724.4]",48.7,48,49.2,0.0225,41.8,34.42211055,9.518477044,254.3,"SomeCol18_24",6.1,6.8,"PrivateCoverage","Lt77"
"123",453.5494221,42881,42477,16.8,0,"(42724.4, 45201]",50.8,50.8,50.8,0.0242,54.4,52.18339358,6.302577113,213.5,"HS18_24",32.3,9.2,"PrivateCoverage","77to90"
"124",453.5494221,52001,6634,18.5,0,"(51046.4, 54545.6]",41.3,39.5,44.1,2.29,44.8,51.4162266,14.62113127,121.8,"NoHS18_24",38,7.5,"PrivateCoverage","77to90"
"125",453.5494221,55291,3987,8.4,0,"(54545.6, 61494.5]",54.7,54,55.6,2.2,53.5,52.23542728,1.17820324,132.6,"HS18_24",16.9,14.1,"PrivateCoverage","90to95"
"126",453.5494221,52862,446903,15.4,170.0592746,"(51046.4, 54545.6]",37.6,36.8,38.4,2.58,47,45.20183955,5.642578635,166,"HS18_24",15.9,18.2,"PrivateCoverage","77to90"
"127",453.5494221,57243,9811,13.7,0,"(54545.6, 61494.5]",39.4,38.4,40.3,2.71,44.8,53.24756825,5.470459519,188.4,"HS18_24",23.9,8.8,"PrivateCoverage","77to90"
"128",453.5494221,45639,54521,19.3,36.68311293,"(45201, 48021.6]",42.6,41.2,44.4,2.43,45.1,42.93785311,4.262413265,193.5,"HS18_24",17.4,12.8,"PrivateCoverage","77to90"
"129",508.6,59831,60641,10,329.8098646,"(54545.6, 61494.5]",46.1,45.3,46.8,2.42,54.2,53.36016587,4.824422651,182.6,"HS18_24",15.4,19.1,"PrivateCoverage","95to100"
"130",481.8,57556,47285,10.7,0,"(54545.6, 61494.5]",50.3,49.3,51,2.22,59.4,54.68263699,7.381867511,168.8,"HS18_24",14.8,20,"PrivateCoverage","95to100"
"131",489.4,56008,75909,11.8,13.17366847,"(54545.6, 61494.5]",42,41.4,42.5,2.34,48.4,48.86415562,4.687933426,162.8,"SomeCol18_24",6.1,19.4,"PrivateCoverage","95to100"
"132",459.2,42491,31212,14.9,32.03895937,"(40362.7, 42724.4]",48.1,46.7,49.5,2.13,51.5,48.23214537,5.975049245,181.6,"HS18_24",13.2,11.7,"PrivateCoverage","95to100"
"133",435.5,56353,89320,11.6,78.36990596,"(54545.6, 61494.5]",41.9,40.5,43.1,2.35,48.5,49.5875553,6.078496198,155,"HS18_24",6.6,20.2,"PrivateCoverage","90to95"
"134",482.2,71233,406678,8.7,105.7347582,"(61494.5, 125635]",40.1,39.2,41.1,2.55,51.4,51.98701098,5.055576216,163.2,"SomeCol18_24",12.9,23,"PrivateCoverage","90to95"
"135",507.6,62429,147994,9.5,378.3937187,"(61494.5, 125635]",42.6,41.4,43.7,2.49,51.5,53.12759016,3.901815696,173.1,"SomeCol18_24",10.9,21.5,"PrivateCoverage","90to95"
"136",518.8,79653,301777,6.1,72.90151337,"(61494.5, 125635]",43.5,42.6,44.3,2.51,56.8,57.13535713,4.370734571,172.2,"HS18_24",13.5,24.6,"PrivateCoverage","95to100"
"137",502.6,58577,126825,11.8,94.61856889,"(54545.6, 61494.5]",37.2,36.1,38.3,2.48,46.8,49.94167427,3.681800261,177.6,"HS18_24",6.1,21.1,"PrivateCoverage","90to95"
"138",475.7,57142,42967,10.4,0,"(54545.6, 61494.5]",45.1,44.4,46.3,2.44,50.9,49.85074627,3.657874742,171.9,"HS18_24",17.4,16.4,"PrivateCoverage","95to100"
